Comment,Designator,Footprint,LCSC,Quantity
100kΩ,R1,R_0603,C25803,1
100nF,"C39,C40,C5",C_0603,C14663,3
100nF,"C8,C9",C_0603,C15725,2
10kΩ,"R24,R25,R3,R4",R_0603,C25804,4
10nF,C11,C_0603,C43253,1
10uF,C13,C_CASE-A-3216-18(mm),C7171,1
1kΩ,R17,R_0603,C21190,1
1nF,"C21,C24,C30",C_0603,C43847,3
1uF,"C10,C25,C31,C7",C_0805,C126585,4
1uF,"C1,C2,C3,C4",C_0603,C15849,4
2.2nF,"C17,C18,C19,C20,C22,C23,C26,C27,C28,C29,C32,C33,C34,C35",C_0603,C113804,14
2.2uF,C14,C_0603,C23630,1
2.2Ω,R5,R_0603,C22939,1
2.7Ω,"R10,R11,R13,R14,R6,R7",R_0805,C17532,6
22uF,C15,C_CASE-A-3216-18(mm),C7183,1
274kΩ,R2,R_0603,C22968,1
3.3nF,C12,C_0603,C1613,1
330Ω,"R26,R27,R28",R_0603,C23138,3
383kΩ,R18,R_0805,C17652,1
4.7kΩ,"R21,R22",R_0603,C23162,2
47nF,"C38,C6",C_0603,C559308,2
56Ω,"R15,R16",R_0603,C25196,2
7mΩ,"R12,R8,R9",R_2512_6332Metric,C393073,3
9.76kΩ,R19,R_0805,C17859,1
AMS1117,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
CSD19532Q5B,"Q1,Q2,Q3,Q4,Q5,Q6",TDSON-8-1,C2832190,6
Conn_02x19_Odd_Even,"CN10,CN7",PinSocket_2x19_P2.54mm_Vertical,C2881762,2
DRV8353RSRGZT,U1,QFN50P700X700X100-49N,C2150650,1
DSK120,D1,D_SOD-123FL,C22466355,1
Green,D2,D_0805,C2297,1
MR60PW-M.G.B,U4,CONN-TH_MR60PW,C19268044,1
Red,D4,D_0805,C84256,1
S6B-PH-K-S-,CN1,S6B-PH-K-S(LF)(SN),C157920,1
SMDRH104R-331MT,L1,SMDRH104R-331MT,C10146,1
TB60,U7,TB60,C2998193,1
Thermistor_NTC,"TH1,TH2",R_0603,C2892547,2
VEJ331M2ATR-1816,"C36,C37",VEJ331M2ATR-1816,C5266054,2
VT10UF100V167RV0127,C16,VT10UF100V167RV0127,C5250958,1
XT60PW-M,J1,AMASS_XT60PW-M,C98732,1
Yellow,D6,D_0805,C2296,1
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP8,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP6,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP3,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP7,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP5,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,,1
TPD1E05U06DYA,U3,D_SOD-523,,1
