Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603,155.0,-88.0,135.0,top
C10,1uF,C_0805,170.0,-96.0,180.0,top
C11,10nF,C_0603,142.445927,-76.934271,90.0,top
C12,3.3nF,C_0603,144.5,-88.0,90.0,top
C13,10uF,C_CASE-A-3216-18(mm),132.0,-96.0,180.0,top
C14,2.2uF,C_0603,143.0,-88.0,90.0,top
C15,22uF,C_CASE-A-3216-18(mm),140.5,-104.0,45.0,top
C16,VT10UF100V167RV0127,VT10UF100V167RV0127,153.148605,-93.656654,-135.0,top
C17,2.2nF,C_0603,181.746033,-99.942108,90.0,top
C18,2.2nF,C_0603,185.430014,-97.75,-90.0,top
C19,2.2nF,C_0603,181.74183,-96.023806,-90.0,top
C2,1uF,C_0603,145.7,-81.8,-135.0,top
C20,2.2nF,C_0603,177.391638,-91.9,90.0,top
C21,1nF,C_0603,159.526468,-86.181106,135.0,top
C22,2.2nF,C_0603,181.96451,-75.705985,-90.0,top
C23,2.2nF,C_0603,177.363064,-85.9,90.0,top
C24,1nF,C_0603,158.249304,-83.792822,-135.0,top
C25,1uF,C_0805,170.0,-76.08,180.0,top
C26,2.2nF,C_0603,186.5,-82.25,-90.0,top
C27,2.2nF,C_0603,183.5,-79.54451,90.0,top
C28,2.2nF,C_0603,181.879552,-67.5,-90.0,top
C29,2.2nF,C_0603,177.307296,-63.489659,90.0,top
C3,1uF,C_0603,149.2,-87.337386,180.0,top
C30,1nF,C_0603,158.8,-76.925,45.0,top
C31,1uF,C_0805,170.0,-70.472864,180.0,top
C32,2.2nF,C_0603,185.0,-71.5,-90.0,top
C33,2.2nF,C_0603,183.5,-71.5,90.0,top
C34,2.2nF,C_0603,130.359096,-117.555214,90.0,top
C35,2.2nF,C_0603,132.5,-117.538545,90.0,top
C36,VEJ331M2ATR-1816,VEJ331M2ATR-1816,179.0,-117.0,-90.0,top
C37,VEJ331M2ATR-1816,VEJ331M2ATR-1816,158.5,-117.0,-90.0,top
C38,47nF,C_0603,170.804229,-58.50783,90.0,top
C39,100nF,C_0603,188.5,-64.5,-90.0,top
C4,1uF,C_0603,145.5,-76.5,135.0,top
C40,100nF,C_0603,116.7,-67.699998,180.0,top
C5,100nF,C_0603,155.0,-73.25,90.0,top
C6,47nF,C_0603,149.5,-89.5,90.0,top
C7,1uF,C_0805,142.5,-79.5,180.0,top
C8,100nF,C_0603,151.698975,-88.926125,-135.0,top
C9,100nF,C_0603,142.6,-81.8,180.0,top
CN1,S6B-PH-K-S-,S6B-PH-K-S(LF)(SN),154.6,-59.705,180.0,top
CN10,Conn_02x19_Odd_Even,PinSocket_2x19_P2.54mm_Vertical,119.86,-62.25,90.0,top
CN7,Conn_02x19_Odd_Even,PinSocket_2x19_P2.54mm_Vertical,119.86,-122.23,90.0,top
D1,DSK120,D_SOD-123FL,140.3,-74.6,90.0,top
D2,Green,D_0805,150.008282,-69.386252,-90.0,top
D4,Red,D_0805,161.5,-66.0,45.0,top
D6,Yellow,D_0805,136.939999,-108.0,180.0,top
H1,MountingHole,MountingHole_3.2mm_M3,90.0,-62.0,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3,195.0,-62.0,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3,195.0,-123.0,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3,90.0,-123.0,0.0,top
